,Activity,SoraRank,elapsedTime,Current,Drink,Eat,Exercise,Grooming,Pee,Poop,Sleep,Teeth Clean,TimeDiff_Pee,TimeDiff_Exercise,TimeDiff_Poop,TimeDiff_Sleep,TimeDiff_Drink,TimeDiff_Eat,TimeDiff_Grooming,TimeDiff_Teeth Clean,hour,DOW_Friday,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday
0,Pee,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0,0,0,1,0,0,0
1,Exercise,3.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.583333333333332,0,0,0,1,0,0,0
2,Poop,3.0,0.8694444444444445,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.45,0,0,0,1,0,0,0
3,Pee,3.0,0.3625,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.3152777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0,0,0,1,0,0,0
4,Sleep,3.0,0.018055555555555554,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.833333333333332,0,0,0,1,0,0,0
5,Pee,3.0,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.351388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,1,0,0,0,0,0
6,Exercise,3.1666666666666665,0.3,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.6513888888888888,2.8833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0,1,0,0,0,0,0
7,Sleep,3.6,0.2833333333333333,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.9347222222222222,3.1666666666666665,0.0,1.9166666666666667,0.0,0.0,0.0,0.0,0.75,0,1,0,0,0,0,0
8,Drink,4.333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.2680555555555557,4.5,0.0,3.25,0.0,0.0,0.0,0.0,2.0833333333333335,0,1,0,0,0,0,0
9,Pee,4.0,1.773611111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6902777777777778,6.273611111111111,0.0,5.023611111111111,0.0,0.0,0.0,0.0,3.85,0,1,0,0,0,0,0
10,Poop,3.0,4.367222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0575,10.640833333333333,9.77138888888889,9.390833333333333,0.0,0.0,0.0,0.0,8.216666666666667,0,1,0,0,0,0,0
